Model,Modality,Train_C_index,Train_C_index_std,Test_C_index,Test_C_index_std,ROC_AUC_5y,ROC_AUC_5y_std,PR_AUC_5y,PR_AUC_5y_std,Evidence
DeepSurv_Fusion_Equal,Trimodal,0.7521749499973429,0.01430411386878941,0.6602112076159534,0.014512393818570052,0.6979163519356775,0.012395444030650822,0.40007585784302896,0.029358116959699795,Nested 5-fold CV
CoxPH_LateFusion_Weighted,Trimodal,0.7035873830556861,0.011212653220141082,0.6576924906272902,0.031804213075549176,0.6972726237401367,0.021218042667344197,0.40471628493924766,0.026025932192478174,Nested 5-fold CV
CoxPH_LateFusion_Equal,Trimodal,0.7034795182239397,0.010317218795630925,0.6545654642269065,0.034124857079952664,0.6945638046927993,0.024248986540527196,0.3961881534361332,0.03264593283584312,Nested 5-fold CV
AFT_Best,Trimodal,0.7378721317447481,0.0037575192771289695,0.6524369480666599,0.0060780483974920045,0.7094991916016516,0.019501958580774928,0.4127863582381418,0.0412464555770276,Nested 5-fold CV
CoxPH,Trimodal,0.7028143150225341,0.003095531334727404,0.6522671900005342,0.020491571615639803,0.6879689645886948,0.015946675785250365,0.39491344336040357,0.022268487046432094,Nested 5-fold CV
CoxPH,Clin+Mut,0.7001237870024541,0.0036413139621846095,0.6493846928181253,0.019562141961936702,0.68130251604164,0.01584142695558374,0.38914347707323976,0.019026923388262593,Nested 5-fold CV
AFT_Best,Clin+Mut,0.7307159933056655,0.0031255750274816526,0.648489368381644,0.0066301090531446765,0.7020334992095923,0.016356544354066367,0.4052191752320895,0.03617971029694727,Nested 5-fold CV
DeepSurv,Trimodal,0.7752079497012371,0.0226139001537685,0.636005494397336,0.021611101387067733,0.684757823787948,0.00736459283737707,0.38755007813542164,0.03641174692815291,Nested 5-fold CV
DeepSurv,Clin+Mut,0.7798177945621302,0.007068761738545345,0.6302825886067586,0.007997315482950452,0.6603427372284658,0.009132764622032604,0.35537105431970123,0.0325201106649675,Nested 5-fold CV
AFT_Best,mRNA,0.6342528849437106,0.005037805612324026,0.6135731959291586,0.013897564926696585,0.6788146573751769,0.023567300311516173,0.3740514165742341,0.0229798881480682,Nested 5-fold CV
CoxPH,mRNA,0.6231398798214614,0.003940775938348122,0.6047779134008098,0.018580228575432345,0.6426832499419366,0.023738325039442575,0.3450871397790628,0.025647323283829696,Nested 5-fold CV
RSF,mRNA,0.8048191433993604,0.004582005067581413,0.6026322058819301,0.02457798432035585,0.6463550635323326,0.03524838922224517,0.3537331137689128,0.04522951936545448,Nested 5-fold CV
DeepSurv,mRNA,0.6676194967374525,0.01575276268000432,0.6008875364998709,0.02163607583133191,0.638650454159366,0.014558487779713974,0.3222092468028057,0.028204908285363275,Nested 5-fold CV
GBSA,mRNA,0.7741388045264468,0.006833521115889366,0.5962381803885496,0.019099996972956806,0.6316327697314683,0.03681668210148047,0.34780712973273376,0.05947073330844799,Nested 5-fold CV
RSF,Mutation,0.6746855832472163,0.03736514081070833,0.5603121106802471,0.012218054180739171,0.6138203375853314,0.024071050031958773,0.29557573178995955,0.016734165560243774,Nested 5-fold CV
GBSA,Mutation,0.716084889346402,0.02000000541765983,0.5495026130616795,0.010111834651233543,0.5846142168996058,0.028203221622863074,0.2793996952535305,0.030839295983397106,Nested 5-fold CV
AFT_Best,Mutation,0.6540374686536857,0.001564329591901623,0.5403785971523547,0.016368944537998028,0.5710527509996763,0.04173842734849632,0.266014445554601,0.033666785164406646,Nested 5-fold CV
CoxPH,Mutation,0.6407640451739327,0.004917689397275127,0.5313937907466084,0.018372137929601844,0.547053914947703,0.0475137899989801,0.2519949641406522,0.034267828187230176,Nested 5-fold CV
DeepSurv,Mutation,0.6543206610246891,0.1003012118264454,0.5130524506721539,0.016021437232844327,0.5111071880063094,0.02502671701839794,0.22793870026048949,0.02428547937780678,Nested 5-fold CV
